Change Physical Footprint: Designator=C1 Old Footprint=C0201 New Footprint=C0201
Change Physical Footprint: Designator=C2 Old Footprint=C0201 New Footprint=C0201
Change Physical Footprint: Designator=C3 Old Footprint=C0201 New Footprint=C0201
Change Physical Footprint: Designator=C4 Old Footprint=CAP_CBR_0201 New Footprint=CAP_CBR_0201
Change Physical Footprint: Designator=C5 Old Footprint=CAP_CBR_0201 New Footprint=CAP_CBR_0201
Change Physical Footprint: Designator=D1 Old Footprint=INF-SOD323_V New Footprint=INF-SOD323_V
Change Physical Footprint: Designator=D2 Old Footprint=INF-SOD323_V New Footprint=INF-SOD323_V
Change Physical Footprint: Designator=D3 Old Footprint=INF-SOD323_V New Footprint=INF-SOD323_V
Change Physical Footprint: Designator=P1 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=Q1 Old Footprint=INF-SOT343_V New Footprint=INF-SOT343_V
Change Physical Footprint: Designator=R1 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=R2 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=R3 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=R4 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z1 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z2 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z3 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z4 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z5 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z6 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z7 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z8 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z9 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z10 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
Change Physical Footprint: Designator=Z11 Old Footprint=RES_RC0201_P6XP3 New Footprint=RES_RC0201_P6XP3
