Freq.	V(vout)/V(vin)
1.25000000000000e+008	(1.74005422026801e+001dB,1.77185798706046e+002°)
1.25037503750375e+008	(1.74005432076005e+001dB,1.77184618826555e+002°)
1.25075007500750e+008	(1.74005442126195e+001dB,1.77183439049407e+002°)
1.25112511251125e+008	(1.74005452176906e+001dB,1.77182259374502e+002°)
1.25150015001500e+008	(1.74005462228764e+001dB,1.77181079801758e+002°)
1.25187518751875e+008	(1.74005472281483e+001dB,1.77179900331088e+002°)
1.25225022502250e+008	(1.74005482334660e+001dB,1.77178720962388e+002°)
1.25262526252625e+008	(1.74005492388994e+001dB,1.77177541695581e+002°)
1.25300030003000e+008	(1.74005502444002e+001dB,1.77176362530574e+002°)
1.25337533753375e+008	(1.74005512500053e+001dB,1.77175183467287e+002°)
1.25375037503750e+008	(1.74005522556504e+001dB,1.77174004505586e+002°)
1.25412541254125e+008	(1.74005532614264e+001dB,1.77172825645448e+002°)
1.25450045004500e+008	(1.74005542672441e+001dB,1.77171646886729e+002°)
1.25487548754875e+008	(1.74005552731859e+001dB,1.77170468229370e+002°)
1.25525052505250e+008	(1.74005562792161e+001dB,1.77169289673281e+002°)
1.25562556255625e+008	(1.74005572852991e+001dB,1.77168111218349e+002°)
1.25600060006001e+008	(1.74005582914828e+001dB,1.77166932864494e+002°)
1.25637563756376e+008	(1.74005592977692e+001dB,1.77165754611660e+002°)
1.25675067506751e+008	(1.74005603041154e+001dB,1.77164576459708e+002°)
1.25712571257126e+008	(1.74005613105722e+001dB,1.77163398408587e+002°)
1.25750075007501e+008	(1.74005623171040e+001dB,1.77162220458176e+002°)
1.25787578757876e+008	(1.74005633237244e+001dB,1.77161042608427e+002°)
1.25825082508251e+008	(1.74005643304085e+001dB,1.77159864859207e+002°)
1.25862586258626e+008	(1.74005653372208e+001dB,1.77158687210466e+002°)
1.25900090009001e+008	(1.74005663440895e+001dB,1.77157509662090e+002°)
1.25937593759376e+008	(1.74005673510670e+001dB,1.77156332214008e+002°)
1.25975097509751e+008	(1.74005683581230e+001dB,1.77155154866115e+002°)
1.26012601260126e+008	(1.74005693652933e+001dB,1.77153977618345e+002°)
1.26050105010501e+008	(1.74005703725080e+001dB,1.77152800470579e+002°)
1.26087608760876e+008	(1.74005713798515e+001dB,1.77151623422756e+002°)
1.26125112511251e+008	(1.74005723872664e+001dB,1.77150446474786e+002°)
1.26162616261626e+008	(1.74005733947767e+001dB,1.77149269626567e+002°)
1.26200120012001e+008	(1.74005744023813e+001dB,1.77148092878023e+002°)
1.26237623762376e+008	(1.74005754100730e+001dB,1.77146916229078e+002°)
1.26275127512751e+008	(1.74005764178298e+001dB,1.77145739679603e+002°)
1.26312631263126e+008	(1.74005774256862e+001dB,1.77144563229544e+002°)
1.26350135013501e+008	(1.74005784336446e+001dB,1.77143386878816e+002°)
1.26387638763876e+008	(1.74005794417020e+001dB,1.77142210627325e+002°)
1.26425142514251e+008	(1.74005804498394e+001dB,1.77141034474984e+002°)
1.26462646264626e+008	(1.74005814580830e+001dB,1.77139858421705e+002°)
1.26500150015001e+008	(1.74005824664082e+001dB,1.77138682467404e+002°)
1.26537653765376e+008	(1.74005834748121e+001dB,1.77137506611981e+002°)
1.26575157515751e+008	(1.74005844833310e+001dB,1.77136330855372e+002°)
1.26612661266126e+008	(1.74005854919469e+001dB,1.77135155197496e+002°)
1.26650165016501e+008	(1.74005865006176e+001dB,1.77133979638223e+002°)
1.26687668766876e+008	(1.74005875093969e+001dB,1.77132804177501e+002°)
1.26725172517251e+008	(1.74005885182954e+001dB,1.77131628815253e+002°)
1.26762676267627e+008	(1.74005895272832e+001dB,1.77130453551357e+002°)
1.26800180018002e+008	(1.74005905363391e+001dB,1.77129278385762e+002°)
1.26837683768377e+008	(1.74005915454923e+001dB,1.77128103318362e+002°)
1.26875187518752e+008	(1.74005925547702e+001dB,1.77126928349106e+002°)
1.26912691269127e+008	(1.74005935641133e+001dB,1.77125753477842e+002°)
1.26950195019502e+008	(1.74005945735577e+001dB,1.77124578704537e+002°)
1.26987698769877e+008	(1.74005955830980e+001dB,1.77123404029098e+002°)
1.27025202520252e+008	(1.74005965927348e+001dB,1.77122229451436e+002°)
1.27062706270627e+008	(1.74005976024902e+001dB,1.77121054971464e+002°)
1.27100210021002e+008	(1.74005986122907e+001dB,1.77119880589076e+002°)
1.27137713771377e+008	(1.74005996222099e+001dB,1.77118706304236e+002°)
1.27175217521752e+008	(1.74006006322332e+001dB,1.77117532116811e+002°)
1.27212721272127e+008	(1.74006016423788e+001dB,1.77116358026757e+002°)
1.27250225022502e+008	(1.74006026525726e+001dB,1.77115184033941e+002°)
1.27287728772877e+008	(1.74006036628854e+001dB,1.77114010138328e+002°)
1.27325232523252e+008	(1.74006046733086e+001dB,1.77112836339815e+002°)
1.27362736273627e+008	(1.74006056838097e+001dB,1.77111662638310e+002°)
1.27400240024002e+008	(1.74006066944314e+001dB,1.77110489033738e+002°)
1.27437743774377e+008	(1.74006077051261e+001dB,1.77109315526009e+002°)
1.27475247524752e+008	(1.74006087159393e+001dB,1.77108142115038e+002°)
1.27512751275127e+008	(1.74006097268285e+001dB,1.77106968800736e+002°)
1.27550255025502e+008	(1.74006107378280e+001dB,1.77105795583031e+002°)
