Freq.	V(vout)/V(vin)
1.25000000000000e+008	(1.73840200129659e+001dB,1.75912681905551e+002°)
1.25037503750375e+008	(1.73840048305585e+001dB,1.75911134944981e+002°)
1.25075007500750e+008	(1.73839896438295e+001dB,1.75909588099429e+002°)
1.25112511251125e+008	(1.73839744527795e+001dB,1.75908041368796e+002°)
1.25150015001500e+008	(1.73839592574096e+001dB,1.75906494752991e+002°)
1.25187518751875e+008	(1.73839440577201e+001dB,1.75904948251936e+002°)
1.25225022502250e+008	(1.73839288537115e+001dB,1.75903401865550e+002°)
1.25262526252625e+008	(1.73839136453850e+001dB,1.75901855593726e+002°)
1.25300030003000e+008	(1.73838984327405e+001dB,1.75900309436395e+002°)
1.25337533753375e+008	(1.73838832157792e+001dB,1.75898763393468e+002°)
1.25375037503750e+008	(1.73838679945014e+001dB,1.75897217464845e+002°)
1.25412541254125e+008	(1.73838527689086e+001dB,1.75895671650454e+002°)
1.25450045004500e+008	(1.73838375389996e+001dB,1.75894125950203e+002°)
1.25487548754875e+008	(1.73838223047766e+001dB,1.75892580364002e+002°)
1.25525052505250e+008	(1.73838070662397e+001dB,1.75891034891781e+002°)
1.25562556255625e+008	(1.73837918233895e+001dB,1.75889489533429e+002°)
1.25600060006001e+008	(1.73837765762270e+001dB,1.75887944288870e+002°)
1.25637563756376e+008	(1.73837613247522e+001dB,1.75886399158037e+002°)
1.25675067506751e+008	(1.73837460689665e+001dB,1.75884854140820e+002°)
1.25712571257126e+008	(1.73837308088693e+001dB,1.75883309237140e+002°)
1.25750075007501e+008	(1.73837155444625e+001dB,1.75881764446907e+002°)
1.25787578757876e+008	(1.73837002757463e+001dB,1.75880219770060e+002°)
1.25825082508251e+008	(1.73836850027213e+001dB,1.75878675206487e+002°)
1.25862586258626e+008	(1.73836697253876e+001dB,1.75877130756111e+002°)
1.25900090009001e+008	(1.73836544437467e+001dB,1.75875586418848e+002°)
1.25937593759376e+008	(1.73836391577989e+001dB,1.75874042194612e+002°)
1.25975097509751e+008	(1.73836238675446e+001dB,1.75872498083317e+002°)
1.26012601260126e+008	(1.73836085729847e+001dB,1.75870954084882e+002°)
1.26050105010501e+008	(1.73835932741195e+001dB,1.75869410199215e+002°)
1.26087608760876e+008	(1.73835779709499e+001dB,1.75867866426234e+002°)
1.26125112511251e+008	(1.73835626634765e+001dB,1.75866322765870e+002°)
1.26162616261626e+008	(1.73835473516999e+001dB,1.75864779218010e+002°)
1.26200120012001e+008	(1.73835320356208e+001dB,1.75863235782594e+002°)
1.26237623762376e+008	(1.73835167152398e+001dB,1.75861692459532e+002°)
1.26275127512751e+008	(1.73835013905570e+001dB,1.75860149248732e+002°)
1.26312631263126e+008	(1.73834860615738e+001dB,1.75858606150113e+002°)
1.26350135013501e+008	(1.73834707282904e+001dB,1.75857063163596e+002°)
1.26387638763876e+008	(1.73834553907077e+001dB,1.75855520289092e+002°)
1.26425142514251e+008	(1.73834400488257e+001dB,1.75853977526521e+002°)
1.26462646264626e+008	(1.73834247026456e+001dB,1.75852434875796e+002°)
1.26500150015001e+008	(1.73834093521684e+001dB,1.75850892336841e+002°)
1.26537653765376e+008	(1.73833939973938e+001dB,1.75849349909556e+002°)
1.26575157515751e+008	(1.73833786383231e+001dB,1.75847807593879e+002°)
1.26612661266126e+008	(1.73833632749561e+001dB,1.75846265389720e+002°)
1.26650165016501e+008	(1.73833479072946e+001dB,1.75844723296983e+002°)
1.26687668766876e+008	(1.73833325353383e+001dB,1.75843181315603e+002°)
1.26725172517251e+008	(1.73833171590880e+001dB,1.75841639445486e+002°)
1.26762676267627e+008	(1.73833017785446e+001dB,1.75840097686538e+002°)
1.26800180018002e+008	(1.73832863937088e+001dB,1.75838556038711e+002°)
1.26837683768377e+008	(1.73832710045803e+001dB,1.75837014501896e+002°)
1.26875187518752e+008	(1.73832556111611e+001dB,1.75835473076022e+002°)
1.26912691269127e+008	(1.73832402134509e+001dB,1.75833931760988e+002°)
1.26950195019502e+008	(1.73832248114503e+001dB,1.75832390556733e+002°)
1.26987698769877e+008	(1.73832094051605e+001dB,1.75830849463169e+002°)
1.27025202520252e+008	(1.73831939945815e+001dB,1.75829308480211e+002°)
1.27062706270627e+008	(1.73831785797145e+001dB,1.75827767607779e+002°)
1.27100210021002e+008	(1.73831631605594e+001dB,1.75826226845780e+002°)
1.27137713771377e+008	(1.73831477371176e+001dB,1.75824686194159e+002°)
1.27175217521752e+008	(1.73831323093892e+001dB,1.75823145652804e+002°)
1.27212721272127e+008	(1.73831168773750e+001dB,1.75821605221654e+002°)
1.27250225022502e+008	(1.73831014410751e+001dB,1.75820064900612e+002°)
1.27287728772877e+008	(1.73830860004915e+001dB,1.75818524689616e+002°)
1.27325232523252e+008	(1.73830705556234e+001dB,1.75816984588574e+002°)
1.27362736273627e+008	(1.73830551064720e+001dB,1.75815444597404e+002°)
1.27400240024002e+008	(1.73830396530380e+001dB,1.75813904716024e+002°)
1.27437743774377e+008	(1.73830241953217e+001dB,1.75812364944361e+002°)
1.27475247524752e+008	(1.73830087333237e+001dB,1.75810825282318e+002°)
1.27512751275127e+008	(1.73829932670453e+001dB,1.75809285729829e+002°)
1.27550255025502e+008	(1.73829777964869e+001dB,1.75807746286802e+002°)
1.27587758775877e+008	(1.73829623216478e+001dB,1.75806206953171e+002°)
1.27625262526252e+008	(1.73829468425300e+001dB,1.75804667728847e+002°)
