Freq.	V(vout2)/V(vin)
1.25000000000000e+008	(4.47895700140510e+001dB,-2.19670205042116e+001°)
1.25037503750375e+008	(4.47892936719814e+001dB,-2.19737696150887e+001°)
1.25075007500750e+008	(4.47890172669634e+001dB,-2.19805181831295e+001°)
1.25112511251125e+008	(4.47887407990049e+001dB,-2.19872662084859e+001°)
1.25150015001500e+008	(4.47884642681312e+001dB,-2.19940136912335e+001°)
1.25187518751875e+008	(4.47881876743530e+001dB,-2.20007606315298e+001°)
1.25225022502250e+008	(4.47879110176843e+001dB,-2.20075070294165e+001°)
1.25262526252625e+008	(4.47876342981454e+001dB,-2.20142528850444e+001°)
1.25300030003000e+008	(4.47873575157532e+001dB,-2.20209981984411e+001°)
1.25337533753375e+008	(4.47870806705160e+001dB,-2.20277429698477e+001°)
1.25375037503750e+008	(4.47868037624554e+001dB,-2.20344871992959e+001°)
1.25412541254125e+008	(4.47865267915906e+001dB,-2.20412308868159e+001°)
1.25450045004500e+008	(4.47862497579272e+001dB,-2.20479740326241e+001°)
1.25487548754875e+008	(4.47859726614861e+001dB,-2.20547166368300e+001°)
1.25525052505250e+008	(4.47856955022888e+001dB,-2.20614586994720e+001°)
1.25562556255625e+008	(4.47854182803424e+001dB,-2.20682002206852e+001°)
1.25600060006001e+008	(4.47851409956716e+001dB,-2.20749412005331e+001°)
1.25637563756376e+008	(4.47848636482820e+001dB,-2.20816816392276e+001°)
1.25675067506751e+008	(4.47845862381995e+001dB,-2.20884215367082e+001°)
1.25712571257126e+008	(4.47843087654326e+001dB,-2.20951608932125e+001°)
1.25750075007501e+008	(4.47840312300002e+001dB,-2.21018997087999e+001°)
1.25787578757876e+008	(4.47837536319173e+001dB,-2.21086379835587e+001°)
1.25825082508251e+008	(4.47834759712035e+001dB,-2.21153757176218e+001°)
1.25862586258626e+008	(4.47831982478667e+001dB,-2.21221129110771e+001°)
1.25900090009001e+008	(4.47829204619289e+001dB,-2.21288495640542e+001°)
1.25937593759376e+008	(4.47826426134069e+001dB,-2.21355856765841e+001°)
1.25975097509751e+008	(4.47823647023133e+001dB,-2.21423212488848e+001°)
1.26012601260126e+008	(4.47820867286633e+001dB,-2.21490562809702e+001°)
1.26050105010501e+008	(4.47818086924732e+001dB,-2.21557907729663e+001°)
1.26087608760876e+008	(4.47815305937618e+001dB,-2.21625247249992e+001°)
1.26125112511251e+008	(4.47812524325452e+001dB,-2.21692581370679e+001°)
1.26162616261626e+008	(4.47809742088339e+001dB,-2.21759910094474e+001°)
1.26200120012001e+008	(4.47806959226479e+001dB,-2.21827233420898e+001°)
1.26237623762376e+008	(4.47804175740029e+001dB,-2.21894551351376e+001°)
1.26275127512751e+008	(4.47801391629128e+001dB,-2.21961863887879e+001°)
1.26312631263126e+008	(4.47798606893940e+001dB,-2.22029171030094e+001°)
1.26350135013501e+008	(4.47795821534678e+001dB,-2.22096472779364e+001°)
1.26387638763876e+008	(4.47793035551412e+001dB,-2.22163769137343e+001°)
1.26425142514251e+008	(4.47790248944352e+001dB,-2.22231060104041e+001°)
1.26462646264626e+008	(4.47787461713656e+001dB,-2.22298345681854e+001°)
1.26500150015001e+008	(4.47784673859436e+001dB,-2.22365625870464e+001°)
1.26537653765376e+008	(4.47781885381921e+001dB,-2.22432900671568e+001°)
1.26575157515751e+008	(4.47779096281229e+001dB,-2.22500170086081e+001°)
1.26612661266126e+008	(4.47776306557545e+001dB,-2.22567434113914e+001°)
1.26650165016501e+008	(4.47773516210999e+001dB,-2.22634692758598e+001°)
1.26687668766876e+008	(4.47770725241755e+001dB,-2.22701946018828e+001°)
1.26725172517251e+008	(4.47767933649977e+001dB,-2.22769193895873e+001°)
1.26762676267627e+008	(4.47765141435825e+001dB,-2.22836436391968e+001°)
1.26800180018002e+008	(4.47762348599422e+001dB,-2.22903673507704e+001°)
1.26837683768377e+008	(4.47759555141008e+001dB,-2.22970905243005e+001°)
1.26875187518752e+008	(4.47756761060705e+001dB,-2.23038131599464e+001°)
1.26912691269127e+008	(4.47753966358608e+001dB,-2.23105352578821e+001°)
1.26950195019502e+008	(4.47751171034950e+001dB,-2.23172568181467e+001°)
1.26987698769877e+008	(4.47748375089896e+001dB,-2.23239778407821e+001°)
